title,author & location,date,text,url,Trump
Donald Trump faces new criminal inquiry into his empire,"Alistair Dawber, Washington",Friday June 11 2021," Donald Trump is facing a new criminal investigation into his business empire after the attorney-general of New York state said that her inquiry was “no longer purely civil in nature”. The former president and his family were already being investigated by Manhattan’s top prosecutor over alleged criminality at his conglomerate, the Trump Organisation, which spans property, entertainment businesses and licensing agreements. The attorney-general, Letitia James, a Democrat, did not provide specific allegations. The Manhattan inquiry, led by the district attorney, Cyrus Vance, another Democrat, has concentrated on allegations of tax and bank fraud. One of the areas being investigated is whether the organisation artificially inflated the value of some of its properties to secure larger loans against them. Last night, it was reported that James © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/donald-trump-faces-new-criminal-inquiry-into-his-empire-pnspsnwrm,True
Trump Organisation is under criminal investigation,"Alistair Dawber, Washington",Friday June 11 2021," New York state’s attorney-general said last night that an investigation into the Trump Organisation had become a criminal one. “We have informed the Trump Organisation that our investigation into the organisation is no longer purely civil in nature,” Fabien Levy, a spokesman, said. “We are now actively investigating the Trump Organisation in a criminal capacity, along with the Manhattan district attorney.” Cyrus Vance, the Manhattan district attorney and a Democrat, has been investigating Trump’s pre-presidency business dealings for two years. His office has said in court filings that it is investigating “possibly extensive and protracted criminal conduct” at the Trump Organisation, including tax and insurance fraud, and falsification of business records. The Trump Organisation is a conglomerate of about 500 companies controlled by the Trump © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/investigation-into-trump-organisation-now-exploring-possible-criminal-conduct-6nrdtd0dm,True
Murder suspect gave dead wife’s vote to Donald Trump,Charlie Mitchell,Friday June 11 2021," A Colorado man charged with murdering his wife has been accused of voting fraudulently for Donald Trump, allegedly telling police that’s what she would have wanted. Barry Morphew, 53, was charged on May 5 with the murder of Suzanne, 49, a mother of two, after she failed to return from a bike ride on May 10 last year. The case drew widespread attention after Morphew’s pleas for his wife’s safe return. Election officials became suspicious, however, when a ballot with her name was submitted for the election in November last year. The ballot did not have her signature, as required, but Morphew had signed as a witness. Police were alerted. He was charged with forgery and charges relating to her disappearance. FBI agents said © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/murder-suspect-dead-wife-vote-donald-trump-77md8wwp7,True
Josh Glancy on the Trump newsgasm and playing the journalist jester,The Sunday Times,Friday June 11 2021," On one of my first days as a Sunday Times reporter in New York I interviewed the terrifying Trump consigliere Roger Stone at JG Melon and the reliably bonkers film director Oliver Stone over afternoon tea at the Plaza. I’ll always remember this baptism of fire in uptown Manhattan as the day of the two Stones: Roger yelling at me over a cheeseburger about how the Clintons belonged in prison, Oliver ranting to me over Earl Grey about how the CIA killed Hugo Chávez by inserting cancer into his rectum. “You might as well retire from covering America now,” a friend observed over decompression drinks that evening. “It can’t get any crazier.” How wrong he was. That day was in September 2016, weeks before the © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/josh-glancy-on-the-trump-newsgasm-and-playing-the-journalist-jester-nhbnwjgwk,True
Ex-British spy ‘set honey traps for traitors in President Trump’s circle’,"David Charter, Washington",Friday June 11 2021," A former British spy allegedly helped conservative activists to launch undercover “honey pot” operations to entrap government officials suspected of disloyalty to President Trump. Richard Seddon, a former MI6 agent, helped to train women to make undercover recordings of targets, allegedly including Trump’s national security adviser HR McMaster, as well as members of the FBI and staff at the justice and state departments, it is claimed. Amid an atmosphere of paranoia about his enemies in the so-called deep state, Trump’s ally Erik Prince, founder of the security company Blackwater, recruited Seddon as a trainer for the Project Veritas group to carry out sting operations on officials in Washington, The New York Times reported. It was unclear, however, who commissioned and funded the McMaster operation © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/ex-british-spy-set-honey-traps-for-traitors-in-president-trumps-circle-qs0fhqfkv,True
Sale’s belief trumps their ill-discipline in vital win over Bath,Rob Cole,Friday June 11 2021," Alex Sanderson, the Sale Sharks director of rugby, summed up perfectly the mayhem of the previous 85 minutes when he told the post-match interviewer he was “elated, frustrated and a bit confused”. The elation came from seeing his side refuse to buckle even when down to 13 men. The frustration emanated from a host of missed opportunities and unforced errors, while the confusion came from some of the decisions by the officials. Throw it all into the mix, along with six tries and four yellow cards for the two teams, and it turned into a firecracker of a game that ended with Sale picking up their first win at The Rec since 2014 and moving into second place in the Premiership table with a sixth © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/sales-belief-trumps-their-ill-discipline-in-vital-win-over-bath-zhm95vnjc,False
Former British spy ‘worked on Project Veritas sting operation to oust Trump’s enemies’,James Callery,Friday June 11 2021," A former British spy helped a network of conservative activists mounting a campaign to discredit perceived enemies of President Trump within the government while he was in office, it was reported last night. The campaign included a planned sting operation against Herbert McMaster, Trump’s national security adviser at the time, and secret surveillance operations against FBI employees, The New York Times reported, citing documents and sources who were involved. The operations against the FBI, run by the conservative group Project Veritas, were conducted from a large home in the Georgetown section of Washington that was rented out for $10,000 per month, it is claimed. Female undercover operatives reportedly arranged dates with FBI employees with the aim of secretly recording them commenting negatively about Trump. The © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/former-british-spy-worked-on-project-veritas-sting-operation-to-oust-trumps-enemies-0qx502l8f,True
Donald Trump prepares to hold his first rallies in six months,"Charlie Moloney, Charlie Mitchell",Friday June 11 2021," Donald Trump is preparing to hold his first rallies in six months, fuelling speculation that he could run again in 2024, it was reported last night. Although few details have been made public, including exact dates and locations, there will be two events in June and one in July, according to US media. Insiders said the former president, who was impeached twice, was hoping to capitalise on a series of perceived crises facing President Biden, including a surge in arrivals at America’s southern border. This week he decamped from his base in Mar-a-Lago, Florida, to spend the summer at his New Jersey golf club, taking him closer to donors. Bombastic rallies have been a centrepiece of Trump’s political platform since 2016, but he has not © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/retired-officers-question-mental-and-physical-condition-of-biden-rddswrdqx,True
Palace complains over Trump trickery,"Ben Hoyle, Los Angeles",Friday June 11 2021," Buckingham Palace has asked an American Trump supporter to remove a doctored picture of the Queen from the side of a campaign bus promoting the former president’s possible re-election campaign. The image is adapted from a photograph of the Queen taken in Wales ten years ago. The Trump campaign slogan “Make America Great Again” has been superimposed over her red hat and a partially visible brooch promoting the conspiracy cult QAnon, which venerates Trump, has been added to her red coat. Other edited images adorning the vehicle include one of the fictional boxer Rocky Balboa, who was played by Sylvester Stallone, with Trump’s head superimposed over Stallone’s, and another of Ronald Reagan sporting a “Trump” baseball cap. A Palace spokesman told Buzzfeed News it was © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/palace-complains-over-trump-trickery-wtxtq9s77,True
Donald Trump hid escalating climate change crisis,Ben Hoyle,Friday June 11 2021," Climate change inflicted increasing damage on the United States during Donald Trump’s presidency even as the administration attempted to suppress evidence of its impact, newly released government findings show. Before 2016 the Environmental Protection Agency regularly updated a list of climate indicators on its website but the data was frozen for four years under Trump, who questioned whether the planet was actually warming. His successor, Joe Biden, has made reducing carbon emissions a central plank of his presidency and this week the agency delivered a detailed new assessment showing an alarming increase in the impact of global climate change on the country, based on 54 separate indicators. For the first time the agency stated that changes such as the destruction of year-round permafrost in Alaska © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/donald-trump-hid-escalating-climate-change-crisis-cf56fxv3l,True
